Date,Open,High,Low,Close,Adj Close,Volume
2019-09-11,7030.000000,7045.000000,7000.000000,7005.000000,7005.000000,8655183
2019-09-16,6955.000000,7040.000000,6955.000000,6990.000000,6990.000000,6744188
2019-09-17,6995.000000,7015.000000,6975.000000,6985.000000,6985.000000,7354443
2019-09-18,6970.000000,7010.000000,6940.000000,6950.000000,6950.000000,7726846
2019-09-19,6950.000000,6965.000000,6875.000000,6905.000000,6905.000000,10851773
2019-09-20,6915.000000,6925.000000,6865.000000,6870.000000,6870.000000,9797648
2019-09-23,6885.000000,6895.000000,6860.000000,6860.000000,6860.000000,13185390
2019-09-24,6870.000000,6890.000000,6825.000000,6825.000000,6825.000000,14154680
2019-09-25,6860.000000,6925.000000,6850.000000,6920.000000,6920.000000,10810818
2019-09-26,6890.000000,6945.000000,6865.000000,6910.000000,6910.000000,8741220
2019-09-27,6930.000000,7005.000000,6925.000000,6980.000000,6980.000000,7749044
2019-09-30,7000.000000,7015.000000,6915.000000,6925.000000,6925.000000,11222946
2019-10-01,6930.000000,6945.000000,6875.000000,6905.000000,6905.000000,8161342
2019-10-02,6965.000000,7055.000000,6960.000000,7055.000000,7055.000000,8675993
2019-10-04,7075.000000,7085.000000,7010.000000,7075.000000,7075.000000,9672037
2019-10-07,7040.000000,7100.000000,7025.000000,7075.000000,7075.000000,7711754
2019-10-08,7065.000000,7065.000000,6965.000000,6970.000000,6970.000000,10091574
2019-10-10,7050.000000,7115.000000,6995.000000,7025.000000,7025.000000,12850502
2019-10-11,6965.000000,7000.000000,6945.000000,6975.000000,6975.000000,6583820
2019-10-14,6895.000000,6910.000000,6865.000000,6900.000000,6900.000000,9038050
2019-10-15,6920.000000,6920.000000,6885.000000,6895.000000,6895.000000,5786044
2019-10-16,6855.000000,6885.000000,6820.000000,6855.000000,6855.000000,8496995
2019-10-17,6845.000000,6895.000000,6845.000000,6880.000000,6880.000000,4244576
2019-10-18,6865.000000,6955.000000,6835.000000,6945.000000,6945.000000,14677851
2019-10-21,6930.000000,6940.000000,6910.000000,6910.000000,6910.000000,9901707
